id,x,y,z
0,21.4247,-51.054,-110.1174
1,20.8934,-51.1237,-110.1174
2,20.8934,-51.027,-110.8993
3,8.6646,-0.9924,-30.1174
4,7.8934,-1.214,-30.1174
5,7.8934,-1.3994,-29.1174
6,9.0042,-1.0684,-29.1959
7,-17.559,-26.054,-52.1174
8,-17.5424,-27.054,-52.1174
9,-17.2984,-26.054,-51.1174
10,50.459,-6.054,-44.1174
11,50.8934,-6.6058,-44.1174
12,50.8934,-6.5115,-45.1174
13,-17.1805,-27.054,-50.8806
14,50.5233,-6.054,-45.1174
15,44.7149,-44.8845,-62.1174
16,43.8934,-45.6751,-62.1174
17,44.3444,-45.054,-63.1174
18,43.8934,-45.4847,-63.1174
19,50.5674,-6.054,-46.1174
20,49.8084,-5.1552,-46.1174
21,49.7825,-5.1837,-45.1174
22,-17.0383,-26.054,-50.3169
23,6.8934,-1.5588,-30.1174
24,6.8934,-1.7379,-29.1174
25,43.2848,-46.054,-63.1174
26,43.4828,-46.054,-62.1174
27,18.8934,-51.0442,-112.9295
28,19.0534,-51.0705,-112.1174
29,17.8934,-51.1404,-112.1174
30,17.8229,-51.0512,-113.1007
31,8.8934,-1.3249,-28.1174
32,-17.5839,-25.054,-52.1174
33,-17.298,-25.054,-51.1174
34,7.8934,-1.6077,-28.1174
35,-17.0262,-25.054,-50.3446
36,49.7541,-5.2152,-44.1174
37,6.7212,-1.9921,-28.1174
38,41.8616,-47.0411,-64.0493
39,42.9551,-46.1086,-64.1174
40,42.8934,-46.3914,-63.1174
41,41.9822,-47.1223,-63.1174
42,16.8934,-51.1469,-112.1174
43,-18.1475,-24.054,-53.9827
44,-18.1609,-25.054,-53.946
45,-17.8932,-25.054,-53.1174
46,16.8934,-51.0614,-113.2071
47,-17.8703,-24.054,-53.1174
48,5.7407,-1.9907,-30.1174
49,4.8934,-2.3539,-30.1174
50,4.8934,-2.5427,-29.1174
51,51.2304,-7.054,-44.1174
52,50.8934,-6.6426,-43.1174
53,42.314,-47.054,-62.1174
54,42.8934,-46.5715,-62.1174
55,51.2125,-7.054,-43.1174
56,5.9347,-2.0708,-29.2982
57,44.8926,-44.0533,-65.1104
58,43.8805,-45.0478,-65.0838
59,44.7797,-43.9398,-66.1174
60,43.7865,-44.9468,-66.1174
61,-17.5373,-24.054,-52.1174
62,51.0114,-6.9059,-42.1174
63,20.0979,-51.0612,-111.1715
64,18.8934,-51.1415,-111.1174
65,5.8934,-2.3139,-28.1174
66,-18.1141,-23.0093,-54.1063
67,-17.7656,-23.054,-53.1174
68,50.4077,-6.054,-43.1174
69,4.8934,-2.7703,-28.1174
70,19.8934,-51.2185,-110.1174
71,50.3139,-6.054,-42.1174
72,18.8934,-51.2647,-110.1174
73,49.8934,-5.4825,-43.1174
74,-17.4278,-23.054,-52.1174
75,45.0105,-44.1695,-64.1174
76,17.8934,-51.1945,-111.1174
77,43.9885,-45.1438,-64.1174
78,49.4906,-5.054,-43.1174
79,-17.1651,-24.054,-50.9453
80,-16.8962,-24.054,-50.1174
81,16.8934,-51.1842,-111.1174
82,49.8934,-5.5834,-42.1174
83,-17.1237,-22.9441,-51.0907
84,-16.8283,-23.054,-50.1174
85,17.8934,-51.3064,-110.1174
86,49.3808,-5.054,-42.1174
87,16.8934,-51.3329,-110.1174
88,6.8934,-2.3552,-26.1174
89,7.8448,-2.0364,-25.9334
90,6.9695,-2.081,-27.3452
91,48.859,-4.0897,-46.1174
92,48.8227,-4.1263,-45.1174
93,44.8934,-44.5306,-63.1174
94,8.8934,-1.5216,-27.1174
95,7.8934,-1.8198,-27.1174
96,48.7837,-4.1659,-44.1174
97,48.8934,-4.4347,-43.1174
98,48.8934,-4.5772,-42.1174
99,8.8934,-1.6795,-26.1174
100,-16.9351,-27.054,-50.1174
101,-16.6746,-26.054,-49.1174
102,-16.6155,-27.054,-49.1174
103,15.8934,-51.1609,-112.1174
104,15.8934,-51.0692,-113.246
105,37.8848,-49.0426,-70.0798
106,37.9984,-49.1199,-69.1174
107,36.8934,-49.7173,-69.1174
108,-16.4017,-26.054,-48.1174
109,-16.3463,-27.054,-48.1174
110,36.8934,-49.6458,-70.1174
111,14.8934,-51.1786,-112.1174
112,14.8934,-51.0648,-113.2499
113,-16.6604,-25.054,-49.1174
114,5.8934,-2.5452,-27.1174
115,50.0279,-5.8973,-41.1174
116,50.9428,-6.9931,-41.1174
117,4.8484,-3.0431,-27.0707
118,-16.3953,-25.054,-48.1174
119,13.9925,-51.0449,-113.0722
120,13.8934,-51.1206,-112.1174
121,49.9677,-5.9709,-40.1174
122,50.8982,-7.0482,-40.02
123,36.7052,-49.9542,-68.1174
124,38.0817,-49.1757,-68.1174
125,5.8934,-2.7503,-26.1174
126,-16.052,-27.054,-47.2637
127,-16.0608,-26.054,-47.2345
128,12.8648,-51.0548,-112.1345
129,5.0696,-3.142,-26.1174
130,49.2775,-5.054,-41.1174
131,-15.6792,-26.054,-46.1174
132,-15.6275,-27.054,-46.1174
133,15.8934,-51.2011,-111.1174
134,38.4008,-49.054,-67.1174
135,37.8934,-49.394,-67.1174
136,14.8934,-51.2023,-111.1174
137,36.8578,-50.0433,-67.0296
138,49.0135,-4.9315,-40.1174
139,15.8934,-51.3323,-110.1174
140,-16.0781,-25.054,-47.1976
141,3.8934,-2.8131,-30.1174
142,38.7939,-48.992,-66.1174
143,37.8934,-49.5405,-66.1174
144,3.8778,-3.0459,-29.0486
145,14.8934,-51.2835,-110.1174
146,-15.7195,-25.054,-46.1174
147,3.3833,-3.054,-30.1174
148,13.8934,-51.1613,-111.1174
149,49.906,-6.0265,-39.0035
150,50.8513,-7.1074,-39.1174
151,-16.6259,-24.054,-49.1174
152,36.9485,-50.085,-66.1174
153,12.8934,-51.1045,-111.1174
154,4.0999,-3.1585,-28.1174
155,-16.3502,-24.054,-48.1174
156,39.4955,-48.054,-69.1174
157,38.8934,-48.5138,-69.1174
158,39.097,-48.1987,-70.1174
159,49.8625,-6.0887,-38.1174
160,50.7998,-7.1677,-38.1174
161,13.8934,-51.2279,-110.1174
162,39.7834,-47.9702,-68.1174
163,38.8934,-48.6299,-68.1174
164,-16.5911,-23.054,-49.1174
165,12.8934,-51.2106,-110.1174
166,-16.3017,-23.054,-48.1174
167,40.8075,-46.9858,-69.1174
168,39.8934,-47.7356,-69.1174
169,40.7388,-46.9307,-70.1174
170,39.8934,-47.6051,-70.1174
171,48.9442,-5.0044,-39.1174
172,11.8934,-51.0679,-111.2772
173,6.8934,-2.5379,-25.1174
174,8.087,-2.1169,-25.1174
175,-16.0809,-24.054,-47.2015
176,40.9051,-47.0589,-68.1437
177,7.8934,-2.3875,-24.1174
178,8.8901,-2.0529,-24.1046
179,-15.7377,-24.054,-46.1174
180,11.8934,-51.2038,-110.1174
181,48.8808,-5.06,-38.1643
182,6.8934,-2.7262,-24.1174
183,-16.0319,-23.054,-47.3346
184,48.8934,-4.6591,-41.1174
185,10.9585,-51.0481,-111.0929
186,10.8934,-51.1749,-110.1174
187,8.8934,-1.8677,-25.1174
188,-15.6707,-23.054,-46.1174
189,-18.0652,-22.054,-54.2527
190,-17.7074,-22.054,-53.1174
191,9.8934,-51.0219,-110.905
192,9.8934,-51.1563,-110.1174
193,39.8905,-48.0499,-67.1086
194,38.8934,-48.7235,-67.1174
195,8.8934,-51.1918,-110.1174
196,8.8934,-51.0171,-110.9351
197,5.7735,-2.9984,-25.1174
198,52.8959,-10.046,-38.0568
199,52.8759,-10.0817,-37.1174
200,53.4381,-11.054,-37.1174
201,53.4923,-11.054,-38.1174
202,-17.3676,-22.054,-52.1174
203,7.8934,-51.003,-110.9029
204,52.8362,-10.1447,-36.1174
205,7.8934,-51.1844,-110.1174
206,53.3794,-11.054,-36.1174
207,40.0415,-48.1632,-66.1174
208,-17.8967,-21.054,-54.1174
209,-17.6122,-21.054,-53.1174
210,5.9396,-3.0935,-24.2185
211,6.8934,-51.0913,-110.3172
212,52.78,-10.2289,-35.1174
213,41.0338,-47.1674,-67.1174
214,53.3127,-11.054,-35.1174
215,-17.1786,-21.054,-51.9032
216,52.8934,-10.4801,-34.1174
217,53.2668,-11.054,-34.1174
218,8.8934,-2.2195,-23.1174
219,7.8934,-2.5536,-23.1174
220,-17.0822,-22.054,-51.1969
221,-16.7737,-22.054,-50.1174
222,40.8934,-47.5,-66.1174
223,6.7299,-2.9862,-23.1174
224,52.0251,-8.8779,-37.1174
225,52.228,-9.054,-38.1174
226,-16.9356,-21.054,-51.1174
227,8.8934,-2.3857,-22.1174
228,7.8934,-2.7022,-22.1174
229,51.9866,-8.9362,-36.1174
230,-16.686,-21.054,-50.1174
231,6.9155,-3.0732,-22.1752
232,34.8934,-50.7767,-69.1174
233,34.8934,-50.7606,-70.1174
234,36.0694,-50.1522,-69.1174
235,36.0504,-50.1488,-70.1174
236,52.5968,-10.054,-34.1174
237,35.8934,-50.3854,-68.1174
238,51.9483,-8.9806,-35.1174
239,34.7457,-50.9746,-68.1174
240,16.8934,-1.2908,-21.1174
241,16.8934,-1.1526,-22.1174
242,15.8934,-1.2335,-22.1174
243,15.8934,-1.3424,-21.1174
244,14.8934,-1.3223,-22.1174
245,14.8934,-1.4241,-21.1174
246,51.8917,-9.0552,-34.1248
247,-17.1066,-19.054,-52.6519
248,-17.0983,-20.1455,-52.1414
249,-16.9101,-19.054,-52.1174
250,16.8934,-1.4332,-20.1174
251,15.8934,-1.4698,-20.1174
252,-17.7756,-20.054,-54.1174
253,-17.4435,-20.054,-53.1174
254,51.8934,-8.596,-38.1174
255,14.8934,-1.5528,-20.1174
256,34.0862,-51.1497,-70.1174
257,34.3631,-51.054,-69.1174
258,13.8934,-1.4132,-22.1174
259,13.8934,-1.526,-21.1174
260,51.4071,-8.054,-37.1174
261,51.495,-8.054,-38.1174
262,12.8934,-1.5079,-22.1174
263,12.8934,-1.6628,-21.1174
264,-17.6177,-19.054,-54.1174
265,-17.2915,-19.054,-53.1174
266,35.8934,-50.5444,-67.1174
267,13.8934,-1.6544,-20.1174
268,51.3,-8.054,-36.1174
269,12.8934,-1.7936,-20.1174
270,34.8373,-51.0264,-67.1174
271,50.749,-7.2287,-37.1174
272,16.8934,-1.5596,-19.1174
273,-16.8093,-20.054,-51.1174
274,15.8934,-1.6037,-19.1174
275,50.8934,-7.5358,-36.1174
276,35.8934,-50.6147,-66.1174
277,14.8934,-1.7061,-19.1174
278,-16.5319,-20.054,-50.1174
279,16.8934,-1.6937,-18.1174
280,15.8934,-1.7496,-18.1174
281,-16.6346,-19.054,-51.1174
282,50.4982,-7.054,-36.1174
283,34.8965,-51.0568,-66.1467
284,14.8934,-1.8589,-18.1174
285,-16.3317,-19.054,-50.1174
286,51.2252,-8.054,-35.1174
287,13.8934,-1.8121,-19.1174
288,-16.5312,-22.054,-49.1174
289,12.8934,-1.945,-19.1174
290,-16.1235,-21.934,-48.0306
291,50.9953,-7.9366,-34.1174
292,13.8934,-1.9704,-18.1174
293,-16.4129,-21.054,-49.1174
294,50.8934,-7.6515,-35.1174
295,13.073,-2.0671,-18.2015
296,-16.0688,-21.054,-48.2114
297,10.8399,-2.048,-21.0859
298,10.8934,-2.2129,-20.1174
299,11.812,-2.0366,-19.9097
300,50.3781,-7.054,-35.1174
301,-15.8165,-22.054,-47.1174
302,11.8934,-1.6594,-22.1174
303,11.8934,-1.8345,-21.1174
304,50.0553,-6.8776,-34.1174
305,38.8868,-49.0463,-65.0814
306,37.8934,-49.6136,-65.1174
307,10.8934,-1.8345,-22.1174
308,52.8934,-10.565,-33.1174
309,37.0047,-50.1132,-65.1174
310,53.2198,-11.054,-33.1174
311,-15.5674,-22.054,-46.1174
312,-15.731,-21.054,-47.1174
313,52.8934,-10.5962,-32.1174
314,53.1872,-11.054,-32.1174
315,53.0195,-10.8638,-31.1174
316,38.9672,-49.0994,-64.1174
317,37.8934,-49.7051,-64.1174
318,-15.505,-21.054,-46.1174
319,-16.1638,-20.054,-48.9467
320,9.8934,-2.2723,-21.1174
321,9.9095,-2.0584,-22.1728
322,37.0943,-50.1636,-64.1174
323,52.5359,-10.054,-33.1174
324,-15.8828,-20.054,-48.1174
325,8.8934,-2.556,-21.1174
326,52.5227,-10.054,-32.1174
327,39.3537,-49.054,-62.1174
328,38.8934,-49.3212,-62.1174
329,39.0384,-49.1451,-63.1174
330,51.8456,-9.1178,-33.1174
331,9.8934,-2.4947,-20.1174
332,-16.0836,-19.2806,-49.1931
333,37.3561,-50.054,-63.1174
334,36.8934,-50.3092,-63.1174
335,8.8934,-2.789,-20.1174
336,51.8287,-9.136,-32.1174
337,37.6968,-49.9475,-62.1174
338,36.8934,-50.3732,-62.1174
339,-15.7018,-19.054,-48.1174
340,37.8934,-49.7641,-63.1174
341,52.4476,-10.054,-31.1174
342,52.3513,-10.054,-30.1174
343,52.9829,-10.9252,-30.1174
344,-15.6003,-20.054,-47.1174
345,10.8934,-2.3615,-19.1174
346,12.1134,-2.1007,-19.1174
347,51.7764,-9.1983,-31.1174
348,-15.3508,-20.054,-46.1174
349,-15.4272,-19.054,-47.1174
350,11.8934,-2.2857,-18.1174
351,-36.4709,-35.054,-116.1174
352,-37.1344,-34.0944,-115.8937
353,-37.6762,-32.6682,-116.8969
354,-36.4219,-35.0608,-117.1653
355,51.8934,-9.4632,-30.1174
356,10.8934,-2.4701,-18.1174
357,-15.1066,-19.0536,-46.1173
358,40.4066,-48.054,-65.1174
359,39.8934,-48.4154,-65.1174
360,51.568,-9.054,-30.1174
361,-7.1817,13.0074,-95.0558
362,-7.1066,12.5843,-94.1174
363,-6.138,12.9718,-94.0866
364,-37.4963,-33.9818,-117.1067
365,50.9382,-8.0031,-33.1174
366,-15.1066,8.946,-94.5457
367,-15.1066,8.682,-94.1174
368,-14.6364,8.946,-94.1174
369,50.9003,-8.0462,-31.986
370,40.7172,-47.9248,-64.1174
371,39.8934,-48.5059,-64.1174
372,9.8934,-2.6162,-19.1174
373,-14.1066,12.946,-100.5897
374,-14.1066,12.6968,-100.1174
375,-13.2182,12.996,-99.9203
376,8.6901,-2.9825,-19.1174
377,-38.1622,-33.0896,-117.0261
378,-38.0061,-32.9097,-116.1174
379,49.981,-6.9611,-33.1174
380,40.8934,-47.6744,-65.1174
381,-14.9149,12.9019,-101.2016
382,-15.1066,12.226,-100.1174
383,9.8934,-2.7018,-18.1174
384,49.9365,-7.0106,-32.1174
385,-13.1066,12.6294,-99.1174
386,-12.1838,13.0153,-99.0553
387,8.829,-3.0427,-18.0626
388,-36.1835,-35.1493,-115.1174
389,-37.0551,-33.9821,-115.1174
390,-12.1066,12.5074,-98.1174
391,-11.0919,12.9431,-98.1225
392,50.8492,-8.1044,-31.1174
393,-37.0371,-33.9616,-114.1174
394,-36.1352,-35.0904,-114.1174
395,16.8934,-1.832,-17.1174
396,-13.1659,11.973,-98.0299
397,15.8934,-1.8922,-17.1174
398,40.8002,-47.9903,-63.1174
399,39.8934,-48.5971,-63.1174
400,50.7972,-8.1605,-30.1174
401,-15.1066,11.946,-99.579
402,-15.1066,11.6951,-99.1174
403,-14.6071,11.946,-99.1174
