id,x,y,z
0,9.7521,86.0519,-2.1302
1,9.6373,86.6562,-2.2169
2,9.6537,86.6987,-1.6323
3,9.7689,86.0979,-1.5422
4,9.5321,87.3214,-1.7135
5,9.5164,87.2822,-2.294
6,9.5232,87.3554,-1.1365
7,9.6463,86.7354,-1.0521
8,9.7621,86.1378,-0.9584
9,9.2772,88.5933,-1.8431
10,9.4061,87.9564,-1.7839
11,9.3916,87.9199,-2.3607
12,9.2647,88.5591,-2.4156
13,9.264,88.6226,-1.2735
14,9.3951,87.9876,-1.2109
15,9.1691,88.6663,-0.1502
16,9.3047,88.0348,-0.0802
17,9.3606,88.0138,-0.6423
18,9.2273,88.6468,-0.7087
19,9.4907,87.3838,-0.5646
20,9.4368,87.4071,0.0009
21,9.7327,86.1726,-0.3801
22,9.6155,86.7666,-0.4768
23,9.5634,86.7923,0.092
24,9.6815,86.2013,0.1919
25,9.4223,85.8215,-4.4859
26,9.3042,86.4405,-4.5523
27,9.4303,86.4997,-3.9745
28,9.5481,85.8847,-3.9021
29,9.3079,87.1356,-4.0372
30,9.1816,87.0802,-4.6087
31,9.4053,87.1883,-3.4589
32,9.5269,86.5558,-3.3909
33,9.6438,85.9446,-3.313
34,9.0567,88.4303,-4.1298
35,9.1828,87.7826,-4.0891
36,9.0565,87.7307,-4.6544
37,8.9306,88.3814,-4.6891
38,9.1544,88.4767,-3.5622
39,9.2805,87.832,-3.5163
40,9.3499,87.878,-2.939
41,9.2235,88.5202,-2.9897
42,9.4745,87.2375,-2.8768
43,9.7109,86.0008,-2.7213
44,9.5956,86.6083,-2.8039
45,9.2835,86.2667,2.3925
46,9.1658,86.8462,2.2819
47,9.0288,86.8507,2.803
48,9.1439,86.2742,2.9156
49,8.9049,87.4542,2.6979
50,9.0395,87.452,2.1788
51,8.7593,87.4535,3.206
52,8.8792,86.8525,3.3121
53,8.9911,86.2789,3.4257
54,8.6447,88.699,2.5171
55,8.7761,88.0737,2.602
56,8.9074,88.0735,2.0846
57,8.7728,88.7,2.0017
58,8.5079,88.6942,3.023
59,8.6345,88.071,3.1089
60,8.209,88.6745,4.0048
61,8.3236,88.0558,4.0894
62,8.4834,88.065,3.6048
63,8.3626,88.686,3.5189
64,8.603,87.4497,3.7019
65,8.437,87.4433,4.1856
66,8.8258,86.2814,3.9221
67,8.7181,86.8517,3.8085
68,8.5466,86.8482,4.2912
69,8.6492,86.2817,4.4043
70,8.6362,91.1415,-0.3172
71,8.7009,91.125,-0.863
72,8.5793,91.7405,-0.8815
73,8.5136,91.7565,-0.3377
74,8.6263,91.7208,-1.4311
75,8.7466,91.105,-1.4149
76,8.5114,92.3418,-1.4438
77,8.4637,92.3615,-0.8957
78,8.3975,92.3772,-0.3534
79,8.6467,91.6688,-2.5397
80,8.65,91.6971,-1.9847
81,8.7688,91.0808,-1.9707
82,8.7643,91.0526,-2.5285
83,8.5334,92.2896,-2.548
84,8.5361,92.3181,-1.9952
85,8.3221,93.5635,-2.5635
86,8.3244,93.5955,-2.0154
87,8.4272,92.949,-2.0049
88,8.4252,92.9196,-2.5552
89,8.4023,92.9735,-1.4551
90,8.2994,93.6212,-1.4675
91,8.2879,93.009,-0.3676
92,8.3543,92.9935,-0.9087
93,8.2515,93.6414,-0.9227
94,8.1853,93.6572,-0.3829
95,7.1333,48.8259,4.204
96,7.1695,48.924,4.5788
97,7.2574,48.2953,4.6775
98,7.2112,48.2002,4.3012
99,7.2861,48.3842,5.0385
100,7.19,49.0162,4.9369
101,7.3905,47.7522,5.1356
102,7.3536,47.6661,4.7711
103,7.2971,47.5739,4.3925
104,7.3021,48.5462,5.7174
105,7.3001,48.4678,5.3848
106,7.1977,49.1026,5.2792
107,7.196,49.184,5.6076
108,7.4175,47.908,5.8233
109,7.411,47.8326,5.486
110,7.6637,46.6163,6.0243
111,7.6432,46.5472,5.6782
112,7.5266,47.1936,5.5836
113,7.5393,47.2661,5.9254
114,7.4989,47.116,5.2288
115,7.607,46.473,5.3197
116,7.387,46.9444,4.4799
117,7.4532,47.0331,4.861
118,7.5521,46.3936,4.9484
119,7.4767,46.309,4.5646
120,6.7558,0.2707,-4.5246
121,6.7288,0.2644,-4.3865
122,6.6394,0.2192,-4.4629
123,6.6664,0.226,-4.5957
124,6.6015,0.21,-4.3303
125,6.6914,0.2557,-4.2414
126,6.5196,0.1728,-4.4257
127,6.5535,0.1813,-4.545
128,6.5785,0.1875,-4.6724
129,6.4664,0.1748,-4.1003
130,6.5473,0.1965,-4.2002
131,6.6387,0.2435,-4.0849
132,6.5535,0.223,-3.8938
133,6.4035,0.1436,-4.2467
134,6.4719,0.1611,-4.3213
135,6.3156,0.1086,-4.4384
136,6.3368,0.1119,-4.5026
137,6.405,0.1343,-4.4232
138,6.352,0.1216,-4.3615
139,6.4407,0.1423,-4.5163
140,6.36,0.1161,-4.5965
141,6.4899,0.1548,-4.7503
142,6.4684,0.1488,-4.6279
143,6.3807,0.1211,-4.7058
144,6.3985,0.1263,-4.8254
145,-1.3945,64.8855,11.1708
146,-1.4317,65.4057,11.2245
147,-1.7553,65.3447,11.0964
148,-1.7136,64.8231,11.0477
149,-1.7968,65.8636,11.1416
150,-1.4687,65.9238,11.2751
151,-2.1259,65.8019,10.9813
152,-2.0804,65.2818,10.9418
153,-2.0347,64.7589,10.8986
154,-1.8787,66.8943,11.226
155,-1.838,66.3802,11.1845
156,-1.5056,66.4396,11.3233
157,-1.5421,66.9533,11.3703
158,-2.215,66.8347,11.0539
159,-2.1706,66.3193,11.0182
160,-2.8747,66.7128,10.6197
161,-2.8248,66.1949,10.595
162,-2.5007,66.2574,10.8222
163,-2.5481,66.774,10.8524
164,-2.4527,65.7387,10.7912
165,-2.7746,65.6748,10.5698
166,-2.3551,64.693,10.7203
167,-2.4043,65.2174,10.7578
168,-2.7239,65.152,10.5418
169,-2.6722,64.6264,10.5098
170,-6.7787,72.528,5.9664
171,-6.8676,73.0451,5.9706
172,-6.9922,73.0056,5.4563
173,-6.9018,72.4888,5.458
174,-7.0733,73.517,5.4533
175,-6.9475,73.5565,5.9724
176,-7.1677,73.4691,4.9276
177,-7.0858,72.9587,4.9361
178,-6.9944,72.4426,4.9444
179,-7.2072,74.5155,5.443
180,-7.145,74.0209,5.449
181,-7.0181,74.0603,5.9724
182,-7.0791,74.5555,5.9701
183,-7.3026,74.4661,4.9094
184,-7.2399,73.9722,4.9189
185,-7.3969,74.337,3.8085
186,-7.3343,73.8469,3.8275
187,-7.3031,73.9143,4.3796
188,-7.3657,74.4067,4.3656
189,-7.2306,73.4126,4.393
190,-7.2621,73.3477,3.8462
191,-7.0566,72.3891,4.422
192,-7.1485,72.9037,4.4068
193,-7.1805,72.8411,3.8659
194,-7.0888,72.3277,3.8877
195,-6.929,72.0293,1.6736
196,-7.0127,72.5382,1.6297
197,-6.9025,72.4635,1.0883
198,-6.8229,71.9544,1.1378
199,-6.9742,72.9574,1.0391
200,-7.0876,73.0336,1.5862
201,-6.8374,72.883,0.5078
202,-6.7695,72.3901,0.5622
203,-6.6945,71.8803,0.6177
204,-7.0976,73.911,0.937
205,-7.0389,73.4389,0.9892
206,-7.1547,73.518,1.542
207,-7.2149,73.9934,1.4956
208,-6.955,73.8321,0.3954
209,-6.8988,73.3624,0.4526
210,-6.6069,73.6763,-0.6323
211,-6.5572,73.2091,-0.5666
212,-6.7372,73.2865,-0.0663
213,-6.7904,73.7545,-0.1279
214,-6.6796,72.8084,-0.0068
215,-6.5038,72.7315,-0.503
216,-6.5467,71.8056,0.1135
217,-6.6164,72.316,0.0526
218,-6.4461,72.2393,-0.4396
219,-6.3829,71.7284,-0.3736
220,-3.5966,74.8034,11.0567
221,-3.5731,74.3158,11.0429
222,-3.1813,74.351,11.3021
223,-3.2016,74.8359,11.3133
224,-3.1566,73.8631,11.2866
225,-3.5444,73.8256,11.0255
226,-2.7628,73.9033,11.5174
227,-2.7843,74.3887,11.5308
228,-2.8015,74.8711,11.5396
229,-3.0944,72.8773,11.2439
230,-3.1274,73.3719,11.2672
231,-3.5112,73.3322,11.0045
232,-3.4735,72.8356,10.9805
233,-2.7089,72.9225,11.4779
234,-2.7376,73.4146,11.4999
235,-1.9306,73.0206,11.8572
236,-1.9516,73.5085,11.8767
237,-2.3449,73.4603,11.7029
238,-2.3201,72.9702,11.6821
239,-2.3663,73.9465,11.7189
240,-1.9701,73.9914,11.8909
241,-2.3998,74.9081,11.7363
242,-2.3848,74.4286,11.7298
243,-1.9858,74.4706,11.9001
244,-1.999,74.9468,11.9044
245,7.7039,69.7578,9.9016
246,7.7628,70.3132,9.9233
247,7.5184,70.2974,10.2294
248,7.4604,69.7449,10.2032
249,7.5705,70.853,10.2499
250,7.8162,70.872,9.9398
251,7.3101,70.8348,10.5368
252,7.2589,70.2822,10.5118
253,7.202,69.7321,10.4811
254,7.6552,71.9629,10.2731
255,7.6162,71.4091,10.2646
256,7.8634,71.4315,9.9505
257,7.9039,71.9889,9.9555
258,7.392,71.9382,10.5673
259,7.3546,71.3876,10.5553
260,6.8289,71.8922,11.0759
261,6.7945,71.3472,11.0569
262,7.0799,71.3669,10.8202
263,7.1158,71.9147,10.8357
264,7.0367,70.8173,10.7977
265,6.7523,70.8003,11.0304
266,6.9308,69.7196,10.7328
267,6.9868,70.2675,10.7685
268,6.7036,70.2532,10.997
269,6.6489,69.7077,10.9565
270,7.1009,65.4366,9.5463
271,7.185,65.9712,9.6054
272,6.9481,65.9617,9.8754
273,6.8657,65.4264,9.8122
274,7.0287,66.4986,9.9358
275,7.2672,66.5081,9.6619
276,6.7763,66.4911,10.184
277,6.6974,65.9542,10.1193
278,6.6167,65.4186,10.0524
279,7.184,67.5753,10.0456
280,7.1074,67.0367,9.993
281,7.3473,67.0464,9.7148
282,7.425,67.5852,9.7632
283,6.9288,67.5665,10.3028
284,6.8534,67.0284,10.2454
285,6.3855,67.552,10.7353
286,6.3136,67.0159,10.6684
287,6.5877,67.0217,10.4711
288,6.6617,67.5588,10.5333
289,6.5126,66.4851,10.4052
290,6.2404,66.4803,10.5982
291,6.3575,65.4134,10.2654
292,6.4357,65.949,10.3363
293,6.166,65.945,10.5253
294,6.0903,65.4097,10.4502
295,10.0625,71.5756,4.8033
296,9.9222,71.6822,5.3187
297,9.8575,71.1489,5.3496
298,9.9981,71.0478,4.838
299,9.7069,71.242,5.8478
300,9.7716,71.7816,5.8201
301,9.6348,70.6967,5.8725
302,9.7856,70.6098,5.3786
303,9.9269,70.5144,4.871
304,9.3873,71.3918,6.7979
305,9.5494,71.3242,6.3307
306,9.6133,71.87,6.3065
307,9.4497,71.9439,6.7766
308,9.3174,70.8343,6.8151
309,9.4777,70.7726,6.3519
310,9.1608,69.7199,6.8388
311,9.3179,69.6677,6.3844
312,9.4003,70.219,6.3696
313,9.2415,70.2755,6.8288
314,9.5569,70.1491,5.8947
315,9.474,69.6025,5.9144
316,9.85,69.9781,4.9024
317,9.7077,70.0677,5.4053
318,9.6253,69.5261,5.43
319,9.7684,69.441,4.9326
320,9.4038,67.3096,5.036
321,9.2587,67.386,5.5064
322,9.1579,66.8564,5.5182
323,9.3027,66.7817,5.0562
324,9.0083,66.9233,5.9684
325,9.1082,67.4544,5.9646
326,8.9049,66.3944,5.9689
327,9.053,66.3288,5.5272
328,9.1968,66.2556,5.074
329,8.7109,67.0247,6.8303
330,8.858,66.98,6.4061
331,8.9561,67.5128,6.4098
332,8.8068,67.5588,6.8411
333,8.6125,66.4933,6.8156
334,8.7568,66.4499,6.3986
335,8.4095,65.4436,6.7769
336,8.5459,65.4017,6.3749
337,8.6527,65.9233,6.3879
338,8.5121,65.9657,6.7976
339,8.7978,65.8686,5.9664
340,8.6867,65.347,5.9616
341,9.0857,65.7318,5.0897
342,8.9431,65.8042,5.5334
343,8.8285,65.2823,5.5374
344,8.9681,65.2099,5.1029
345,7.992,74.1412,9.9158
346,7.9963,74.6474,9.8921
347,7.7401,74.6157,10.2227
348,7.7368,74.1088,10.2442
349,7.7371,75.1096,10.1965
350,7.9938,75.1395,9.8636
351,7.4667,75.0791,10.5053
352,7.4702,74.5842,10.5298
353,7.4677,74.0768,10.549
354,7.7154,76.0626,10.1308
355,7.7286,75.5915,10.1655
356,7.9858,75.6189,9.8312
357,7.9728,76.0871,9.7947
358,7.4447,76.0357,10.4432
359,7.4579,75.5625,10.4764
360,6.8714,75.9767,10.9853
