id,x,y,z,r,g,b
1280,369.6,42.24,0,38,64,75
1280,369.6,42.57,0,73,72,97
1280,369.6,42.9,0,80,120,82
1280,294.69,43.56,0,58,89,91
1280,295.02,43.89,0,60,85,87
1280,307.89,43.89,0,82,90,82
1280,308.88,43.89,0,78,87,94
1280,312.51,43.89,0,78,90,94
1280,398.31,43.89,0,75,74,83
1280,398.64,43.89,0,89,81,92
1280,398.97,43.89,0,81,77,86
1280,399.3,43.89,0,58,72,76
1280,406.89,43.89,0,56,68,70
1280,294.69,44.22,0,92,106,107
1280,295.35,44.22,0,97,103,98
1280,297.99,44.22,0,90,91,105
1280,298.32,44.22,0,91,92,103
1280,298.65,44.22,0,94,96,101
1280,298.98,44.22,0,94,98,102
1280,299.31,44.22,0,82,87,85
1280,300.63,44.22,0,76,79,87
1280,300.96,44.22,0,84,82,92
1280,301.29,44.22,0,70,77,76
1280,308.22,44.22,0,102,101,90
1280,308.55,44.22,0,122,118,103
1280,309.21,44.22,0,117,113,99
1280,309.54,44.22,0,89,92,83
1280,309.87,44.22,0,84,84,81
1280,310.2,44.22,0,110,104,92
1280,310.53,44.22,0,107,101,88
1280,311.52,44.22,0,98,101,93
1280,311.85,44.22,0,107,107,92
1280,312.18,44.22,0,103,102,92
1280,312.84,44.22,0,107,105,83
1280,315.48,44.22,0,89,95,96
1280,316.14,44.22,0,94,101,95
1280,316.8,44.22,0,104,109,105
1280,317.13,44.22,0,99,100,96
1280,318.45,44.22,0,81,98,97
1280,318.78,44.22,0,90,102,104
1280,319.11,44.22,0,88,95,99
1280,319.44,44.22,0,84,91,100
1280,319.77,44.22,0,78,83,92
1280,320.1,44.22,0,68,89,90
1280,320.43,44.22,0,88,101,103
1280,320.76,44.22,0,91,99,98
1280,321.09,44.22,0,74,87,88
1280,380.49,44.22,0,66,77,86
1280,381.81,44.22,0,76,88,86
1280,382.14,44.22,0,102,107,102
1280,382.47,44.22,0,93,96,93
1280,383.46,44.22,0,96,100,93
1280,383.79,44.22,0,96,91,94
1280,384.12,44.22,0,91,90,89
1280,384.45,44.22,0,82,82,80
1280,385.44,44.22,0,86,86,87
1280,385.77,44.22,0,91,92,92
1280,386.1,44.22,0,87,91,88
1280,386.43,44.22,0,101,95,94
1280,386.76,44.22,0,105,99,93
1280,387.75,44.22,0,104,104,94
1280,388.08,44.22,0,105,100,93
1280,388.41,44.22,0,91,87,87
1280,389.07,44.22,0,103,99,99
1280,389.4,44.22,0,111,102,104
1280,389.73,44.22,0,113,101,104
1280,390.06,44.22,0,99,93,93
1280,391.05,44.22,0,102,109,95
1280,391.38,44.22,0,117,117,97
1280,391.71,44.22,0,92,91,90
1280,393.03,44.22,0,96,87,88
1280,393.36,44.22,0,103,89,91
1280,393.69,44.22,0,97,84,85
1280,394.02,44.22,0,104,92,92
1280,394.35,44.22,0,114,103,98
1280,394.68,44.22,0,116,109,91
1280,395.01,44.22,0,113,108,86
1280,395.34,44.22,0,101,97,86
1280,395.67,44.22,0,102,97,87
1280,396.0,44.22,0,93,95,88
1280,396.33,44.22,0,91,94,87
1280,396.66,44.22,0,97,94,83
1280,396.99,44.22,0,109,104,90
1280,397.32,44.22,0,124,113,99
1280,397.65,44.22,0,126,111,102
1280,397.98,44.22,0,120,108,94
1280,399.3,44.22,0,96,94,89
1280,401.61,44.22,0,84,80,86
1280,401.94,44.22,0,87,86,83
1280,402.27,44.22,0,95,91,87
1280,402.6,44.22,0,101,96,92
1280,402.93,44.22,0,113,103,98
1280,403.26,44.22,0,115,102,102
1280,403.59,44.22,0,108,96,98
1280,403.92,44.22,0,92,85,85
1280,404.25,44.22,0,81,78,83
1280,404.58,44.22,0,86,83,89
1280,404.91,44.22,0,90,92,91
1280,405.24,44.22,0,86,87,90
1280,405.57,44.22,0,83,81,86
1280,405.9,44.22,0,99,91,89
1280,406.23,44.22,0,94,90,79
1280,406.56,44.22,0,97,91,77
1280,407.22,44.22,0,89,83,83
1280,407.55,44.22,0,80,77,87
1280,407.88,44.22,0,90,86,99
1280,408.21,44.22,0,97,93,95
1280,294.36,44.55,0,82,90,86
1280,294.69,44.55,0,105,113,95
1280,295.35,44.55,0,112,118,81
1280,295.68,44.55,0,91,97,77
1280,297.33,44.55,0,84,90,89
1280,297.66,44.55,0,101,109,89
1280,299.31,44.55,0,117,121,88
1280,299.64,44.55,0,98,94,79
1280,299.97,44.55,0,96,98,81
1280,300.3,44.55,0,115,119,92
1280,301.29,44.55,0,110,108,86
1280,301.62,44.55,0,90,84,75
1280,302.28,44.55,0,84,83,76
1280,302.61,44.55,0,93,89,81
1280,302.94,44.55,0,105,94,84
1280,303.27,44.55,0,106,97,88
1280,303.6,44.55,0,98,87,88
1280,303.93,44.55,0,96,85,86
1280,304.26,44.55,0,99,86,88
1280,304.59,44.55,0,95,83,83
1280,304.92,44.55,0,92,84,84
1280,305.25,44.55,0,95,89,86
1280,305.58,44.55,0,98,90,87
1280,305.91,44.55,0,104,95,93
1280,306.24,44.55,0,115,101,100
1280,306.57,44.55,0,119,104,99
1280,306.9,44.55,0,119,104,99
1280,307.23,44.55,0,115,104,90
1280,307.56,44.55,0,117,101,89
1280,307.89,44.55,0,115,101,85
1280,308.22,44.55,0,121,106,89
1280,310.53,44.55,0,129,115,94
1280,310.86,44.55,0,111,97,83
1280,311.19,44.55,0,110,94,91
1280,311.52,44.55,0,123,112,95
1280,312.84,44.55,0,120,107,83
1280,313.5,44.55,0,109,102,85
1280,313.83,44.55,0,105,101,87
1280,314.16,44.55,0,105,101,89
1280,314.49,44.55,0,105,94,84
1280,314.82,44.55,0,111,103,90
1280,315.15,44.55,0,117,118,99
1280,315.48,44.55,0,128,128,101
1280,315.81,44.55,0,100,100,90
1280,316.14,44.55,0,112,111,100
1280,316.47,44.55,0,135,130,111
1280,317.13,44.55,0,136,135,106
1280,317.46,44.55,0,117,113,92
1280,317.79,44.55,0,122,117,99
1280,318.12,44.55,0,115,110,93
1280,321.09,44.55,0,99,107,81
